rn	tip_id	Genome_MAG	TipLabels
PINT_01251	PINT_01251	PINT	
PINT_01255	PINT_01255	PINT	
PINT_01265	PINT_01265	PINT	
PINT_01427	PINT_01427	PINT	
PINT_01461	PINT_01461	PINT	
PINT_01465	PINT_01465	PINT	
PINT_01542	PINT_01542	PINT	
PINT_01544	PINT_01544	PINT	
PINT_01685	PINT_01685	PINT	
PINT_01767	PINT_01767	PINT	
PINT_01777	PINT_01777	PINT	
PINT_01817	PINT_01817	PINT	
PINT_01819	PINT_01819	PINT	
PINT_01928	PINT_01928	PINT	
PINT_01930	PINT_01930	PINT	
PINT_01935	PINT_01935	PINT	
PINT_02085	PINT_02085	PINT	
PINT_02087	PINT_02087	PINT	
PINT_02091	PINT_02091	PINT	
PINT_02107	PINT_02107	PINT	
PINT_02110	PINT_02110	PINT	
PINT_02113	PINT_02113	PINT	
PINT_02498	PINT_02498	PINT	
PINT_02792	PINT_02792	PINT	
PMUR_00211	PMUR_00211	Mouse Prevotella	
PMUR_00219	PMUR_00219	Mouse Prevotella	
PMUR_00223	PMUR_00223	Mouse Prevotella	
PMUR_00329	PMUR_00329	Mouse Prevotella	
PMUR_00333	PMUR_00333	Mouse Prevotella	
PMUR_01155	PMUR_01155	Mouse Prevotella	
PMUR_01261	PMUR_01261	Mouse Prevotella	
PMUR_01354	PMUR_01354	Mouse Prevotella	
PMUR_02430	PMUR_02430	Mouse Prevotella	
PMUR_02434	PMUR_02434	Mouse Prevotella	
PROD_00473	PROD_00473	Mouse Prevotella	
PROD_00837	PROD_00837	Mouse Prevotella	
PROD_00841	PROD_00841	Mouse Prevotella	
PROD_01146	PROD_01146	Mouse Prevotella	
PROD_01370	PROD_01370	Mouse Prevotella	
PROD_01882	PROD_01882	Mouse Prevotella	
PROD_02118	PROD_02118	Mouse Prevotella	
PROD_02122	PROD_02122	Mouse Prevotella	
PROD_02216	PROD_02216	Mouse Prevotella	
PROD_02441	PROD_02441	Mouse Prevotella	
PROD_02445	PROD_02445	Mouse Prevotella	
PROD_02830	PROD_02830	Mouse Prevotella	
