locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMUR_00069	CDS	1344	sufD		COG0719	FeS cluster assembly protein SufD
PMUR_00070	CDS	1215	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
PMUR_00071	CDS	603	rnhB	3.1.26.4	COG0164	Ribonuclease HII
PMUR_00072	CDS	414	ybeY	3.1.-.-		Endoribonuclease YbeY
PMUR_00073	CDS	441	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
PMUR_00074	CDS	1038	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
PMUR_00075	CDS	996	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
PMUR_00076	CDS	1137				hypothetical protein
PMUR_00077	CDS	402				hypothetical protein
PMUR_00078	CDS	1293				hypothetical protein
PMUR_00079	CDS	756	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PMUR_00080	CDS	1407				hypothetical protein
PMUR_00081	CDS	525				hypothetical protein
PMUR_00082	CDS	606				hypothetical protein
PMUR_00083	CDS	1260				hypothetical protein
PMUR_00084	CDS	213				hypothetical protein
PMUR_00085	CDS	129				hypothetical protein
PMUR_00086	CDS	1341				hypothetical protein
PMUR_00087	CDS	2859	leuS	6.1.1.4		Leucine--tRNA ligase
PMUR_00088	CDS	927				hypothetical protein
PMUR_00089	CDS	615		3.6.1.66		dITP/XTP pyrophosphatase
PMUR_00090	CDS	2082				hypothetical protein
PMUR_00091	CDS	1422				hypothetical protein
PMUR_00092	CDS	1026				hypothetical protein
PMUR_00093	CDS	993				hypothetical protein
PMUR_00094	CDS	2286				hypothetical protein
PMUR_00095	CDS	1464				hypothetical protein
PMUR_00096	CDS	1509				hypothetical protein
PMUR_00097	CDS	213				hypothetical protein
PMUR_00098	CDS	990	nadA	2.5.1.72	COG0379	Quinolinate synthase A
PMUR_00099	CDS	522	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
PMUR_00100	CDS	981	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
PMUR_00101	CDS	819	tatC		COG0805	Sec-independent protein translocase protein TatC
PMUR_00102	CDS	195	tatA			Sec-independent protein translocase protein TatA
PMUR_00103	CDS	516				hypothetical protein
PMUR_00104	CDS	444				hypothetical protein
PMUR_00105	CDS	1413				hypothetical protein
PMUR_00106	CDS	1500	ndhI_1	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PMUR_00107	CDS	819				hypothetical protein
PMUR_00108	CDS	426				hypothetical protein
PMUR_00109	CDS	153				hypothetical protein
PMUR_00110	CDS	576				hypothetical protein
PMUR_00111	CDS	678				hypothetical protein
PMUR_00112	CDS	489	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
PMUR_00113	CDS	1368	ktrB		COG0168	Ktr system potassium uptake protein B
PMUR_00114	CDS	915	per1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
PMUR_00115	CDS	1878	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
PMUR_00116	CDS	507	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
PMUR_00117	CDS	618				hypothetical protein
PMUR_00118	CDS	1515	rpoN		COG1508	RNA polymerase sigma-54 factor
PMUR_00119	CDS	651				hypothetical protein
PMUR_00120	CDS	1284				hypothetical protein
PMUR_00121	CDS	1401				hypothetical protein
PMUR_00122	CDS	1080				hypothetical protein
PMUR_00123	CDS	1215				hypothetical protein
PMUR_00124	CDS	1224				hypothetical protein
PMUR_00125	CDS	1284				hypothetical protein
PMUR_00126	CDS	795				hypothetical protein
PMUR_00127	CDS	324				hypothetical protein
PMUR_00128	CDS	5160				hypothetical protein
PMUR_00129	CDS	1428	patA_1	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
PMUR_00130	CDS	861				hypothetical protein
PMUR_00131	CDS	1188	galK_1	2.7.1.6	COG0153	Galactokinase
PMUR_00132	CDS	741	glgC	2.7.7.27		Glucose-1-phosphate adenylyltransferase
PMUR_00133	CDS	2040				hypothetical protein
PMUR_00134	CDS	1038				hypothetical protein
PMUR_00135	CDS	1542				hypothetical protein
PMUR_00136	CDS	1194				hypothetical protein
PMUR_00137	CDS	1125				hypothetical protein
PMUR_00138	CDS	900				hypothetical protein
PMUR_00139	CDS	1305				hypothetical protein
PMUR_00140	CDS	612	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PMUR_00141	CDS	1281	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PMUR_00142	CDS	1734	dapH_3	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PMUR_00143	CDS	1092	gtf1_1	2.4.1.-		Glycosyltransferase Gtf1
PMUR_00144	CDS	705				hypothetical protein
PMUR_00145	CDS	1170				hypothetical protein
PMUR_00146	CDS	627				hypothetical protein
PMUR_00147	CDS	999				hypothetical protein
PMUR_00148	CDS	1131	gtf1_2	2.4.1.-		Glycosyltransferase Gtf1
PMUR_00149	CDS	861				hypothetical protein
PMUR_00150	CDS	1362				hypothetical protein
PMUR_00151	CDS	465				hypothetical protein
PMUR_00152	CDS	474				hypothetical protein
PMUR_00153	CDS	774				hypothetical protein
PMUR_00154	CDS	1050				hypothetical protein
PMUR_00155	CDS	291				hypothetical protein
PMUR_00156	CDS	753				hypothetical protein
PMUR_00157	CDS	507				hypothetical protein
PMUR_00158	CDS	723				hypothetical protein
PMUR_00159	CDS	1179	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
PMUR_00160	CDS	2484	uvrB_1			UvrABC system protein B
PMUR_00161	CDS	552	mtcA1	4.2.1.1	COG0288	Beta-carbonic anhydrase 1
PMUR_00162	CDS	1002	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
PMUR_00163	CDS	1167	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PMUR_00164	CDS	3105				hypothetical protein
PMUR_00165	CDS	165	rd	1.-.-.-	COG1773	Rubredoxin
PMUR_00166	CDS	1089	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
PMUR_00167	CDS	1314	axe7A_1	3.1.1.-	COG3458	Acetyl esterase Axe7A
PMUR_00168	CDS	1011				hypothetical protein
PMUR_00169	CDS	339				hypothetical protein
PMUR_00170	CDS	1623				hypothetical protein
PMUR_00171	CDS	516				hypothetical protein
PMUR_00172	CDS	3144	lacZ_1	3.2.1.23	COG3250	Beta-galactosidase
PMUR_00173	CDS	1674				hypothetical protein
PMUR_00174	CDS	1083	cbh	3.5.1.24		Choloylglycine hydrolase
PMUR_00175	CDS	660				hypothetical protein
PMUR_00176	CDS	996				hypothetical protein
PMUR_00177	CDS	96				hypothetical protein
PMUR_00178	CDS	1791	pyrG_1	6.3.4.2		CTP synthase
PMUR_00179	CDS	471	asnC_1		COG1522	Regulatory protein AsnC
PMUR_00180	CDS	1065	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
PMUR_00181	CDS	246				hypothetical protein
PMUR_00182	CDS	1893		3.2.1.22		Retaining alpha-galactosidase
PMUR_00183	CDS	510				hypothetical protein
PMUR_00184	CDS	2400				hypothetical protein
PMUR_00185	CDS	987				hypothetical protein
PMUR_00186	CDS	1557				hypothetical protein
PMUR_00187	CDS	480				hypothetical protein
PMUR_00188	CDS	1491	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PMUR_00189	CDS	1167				hypothetical protein
PMUR_00190	CDS	876				hypothetical protein
PMUR_00191	CDS	606				hypothetical protein
PMUR_00192	CDS	501	sigG		COG1595	ECF RNA polymerase sigma factor SigG
PMUR_00193	CDS	1170				hypothetical protein
PMUR_00194	CDS	1509	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
PMUR_00195	CDS	1176	patB	4.4.1.8	COG1168	Cystathionine beta-lyase PatB
PMUR_00196	CDS	888				hypothetical protein
PMUR_00197	CDS	1314	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
PMUR_00198	CDS	1839	msbA	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
PMUR_00199	CDS	1824				hypothetical protein
PMUR_00200	CDS	912	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
PMUR_00201	CDS	1032	wbbI	2.4.1.-		Beta-1,6-galactofuranosyltransferase WbbI
PMUR_00202	CDS	1014				hypothetical protein
PMUR_00203	CDS	1755	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
PMUR_00204	CDS	1857	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
PMUR_00205	CDS	1005	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
PMUR_00206	CDS	699	cobB	3.5.1.-	COG0846	NAD-dependent protein deacylase
PMUR_00207	CDS	606	fkpA	5.2.1.8	COG0545	putative FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
PMUR_00208	CDS	882				hypothetical protein
PMUR_00209	CDS	999				hypothetical protein
PMUR_00210	CDS	483				hypothetical protein
PMUR_00211	CDS	1968	cirA		COG4771	Colicin I receptor
PMUR_00212	CDS	4248				hypothetical protein
PMUR_00213	CDS	687				hypothetical protein
PMUR_00214	CDS	606				hypothetical protein
PMUR_00215	CDS	339				hypothetical protein
PMUR_00216	CDS	2556	xyl3A_1	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
PMUR_00217	CDS	201				hypothetical protein
PMUR_00218	CDS	2352				hypothetical protein
PMUR_00219	CDS	3276				hypothetical protein
PMUR_00220	CDS	1566				SusD-like protein
PMUR_00221	CDS	1764				hypothetical protein
PMUR_00222	CDS	1815				hypothetical protein
PMUR_00223	CDS	3120				hypothetical protein
PMUR_00224	CDS	1905				hypothetical protein
PMUR_00225	CDS	2268				hypothetical protein
PMUR_00226	CDS	2097				hypothetical protein
PMUR_00227	CDS	219				hypothetical protein
PMUR_00228	CDS	1911	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
PMUR_00229	CDS	687				hypothetical protein
PMUR_00230	CDS	1020	tolB_1			Protein TolB
PMUR_00231	CDS	2121				hypothetical protein
PMUR_00232	CDS	222				hypothetical protein
PMUR_00233	CDS	255				hypothetical protein
PMUR_00234	CDS	420	sufE		COG2166	Cysteine desulfuration protein SufE
PMUR_00235	CDS	1257				hypothetical protein
PMUR_00236	CDS	627				hypothetical protein
PMUR_00237	CDS	654				hypothetical protein
PMUR_00238	CDS	2868		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
PMUR_00239	CDS	2184		3.2.1.21	COG1472	Beta-glucosidase BoGH3A
PMUR_00240	CDS	1644	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
PMUR_00241	CDS	1206				hypothetical protein
PMUR_00242	CDS	960				hypothetical protein
PMUR_00243	CDS	546				hypothetical protein
PMUR_00244	CDS	2382				hypothetical protein
PMUR_00245	CDS	360				hypothetical protein
PMUR_00246	CDS	1944				hypothetical protein
PMUR_00247	CDS	2274	rnr	3.1.13.1	COG0557	Ribonuclease R
PMUR_00248	CDS	918	fieF		COG0053	Ferrous-iron efflux pump FieF
PMUR_00249	CDS	999	fcl_1	1.1.1.271		GDP-L-fucose synthase
PMUR_00250	CDS	984				hypothetical protein
PMUR_00251	CDS	222				hypothetical protein
PMUR_00252	CDS	606				hypothetical protein
PMUR_00253	CDS	1014				hypothetical protein
PMUR_00254	CDS	1353				hypothetical protein
PMUR_00255	CDS	783	zupT		COG0428	Zinc transporter ZupT
PMUR_00256	CDS	1908	rhiE	4.2.2.23		Rhamnogalacturonate lyase
PMUR_00257	CDS	1953	mdoB	2.7.8.20		Phosphoglycerol transferase I
PMUR_00258	CDS	1374	colD	4.2.1.168		GDP-4-keto-6-deoxy-D-mannose 3-dehydratase
PMUR_00259	CDS	801	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
PMUR_00260	CDS	1080	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
PMUR_00261	CDS	921	rfbJ	1.1.1.341		CDP-abequose synthase
PMUR_00262	CDS	1809	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
PMUR_00263	CDS	936				hypothetical protein
PMUR_00264	CDS	1806				hypothetical protein
PMUR_00265	CDS	759				hypothetical protein
PMUR_00266	CDS	933	ykoT	2.4.-.-		putative glycosyltransferase YkoT
PMUR_00267	CDS	1701				hypothetical protein
PMUR_00268	CDS	1794				hypothetical protein
PMUR_00269	CDS	96				hypothetical protein
PMUR_00270	CDS	1572				hypothetical protein
PMUR_00271	CDS	1950				hypothetical protein
PMUR_00272	CDS	795				hypothetical protein
PMUR_00273	CDS	3468				hypothetical protein
PMUR_00274	CDS	4320				hypothetical protein
PMUR_00275	CDS	2202	rhaR_1			HTH-type transcriptional activator RhaR
PMUR_00276	CDS	1005	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
PMUR_00277	CDS	237	acpP		COG0236	Acyl carrier protein
PMUR_00278	CDS	1263	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PMUR_00279	CDS	1035	rnc	3.1.26.3		Ribonuclease 3
PMUR_00280	CDS	933				hypothetical protein
PMUR_00281	CDS	1056	buk2	2.7.2.7	COG3426	Butyrate kinase 2
PMUR_00282	CDS	2244				hypothetical protein
PMUR_00283	CDS	2652	xyl3A_2	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
PMUR_00284	CDS	1941				hypothetical protein
PMUR_00285	CDS	1449				hypothetical protein
PMUR_00286	CDS	336	rbfA			Ribosome-binding factor A
PMUR_00287	CDS	1227	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
PMUR_00288	CDS	876	racE	5.1.1.3	COG0796	Glutamate racemase 1
PMUR_00289	CDS	576				hypothetical protein
PMUR_00290	CDS	498				hypothetical protein
PMUR_00291	CDS	513				hypothetical protein
PMUR_00292	CDS	2643	bamA_1			Outer membrane protein assembly factor BamA
PMUR_00293	CDS	738	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
PMUR_00294	CDS	687				hypothetical protein
PMUR_00295	CDS	1416				hypothetical protein
PMUR_00296	CDS	138				hypothetical protein
PMUR_00297	CDS	189				hypothetical protein
PMUR_00298	CDS	2520				hypothetical protein
PMUR_00299	CDS	2829	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
PMUR_00300	CDS	189				hypothetical protein
PMUR_00301	CDS	348				hypothetical protein
PMUR_00302	CDS	954	ydbD	1.11.1.6	COG3546	putative manganese catalase
PMUR_00303	CDS	540	yciF		COG3685	Protein YciF
PMUR_00304	CDS	1062				hypothetical protein
PMUR_00305	CDS	528				hypothetical protein
PMUR_00306	CDS	1989				hypothetical protein
PMUR_00307	CDS	408				hypothetical protein
PMUR_00308	CDS	594				hypothetical protein
PMUR_00309	CDS	735				hypothetical protein
PMUR_00310	CDS	522				hypothetical protein
PMUR_00311	CDS	633				hypothetical protein
PMUR_00312	CDS	435	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
PMUR_00313	CDS	927	xerD_1		COG4974	Tyrosine recombinase XerD
PMUR_00314	CDS	2820				hypothetical protein
PMUR_00315	CDS	1842				hypothetical protein
PMUR_00316	CDS	1257	metK	2.5.1.6		S-adenosylmethionine synthase
PMUR_00317	CDS	1026				hypothetical protein
PMUR_00318	CDS	744				hypothetical protein
PMUR_00319	CDS	441	rnpA	3.1.26.5		Ribonuclease P protein component
PMUR_00320	CDS	243			COG0759	Putative membrane protein insertion efficiency factor
PMUR_00321	CDS	1302	tyrS	6.1.1.1		Tyrosine--tRNA ligase
PMUR_00322	tRNA	72				tRNA-Gln(ttg)
PMUR_00323	CDS	4062	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
PMUR_00324	CDS	186				hypothetical protein
PMUR_00325	CDS	1143				hypothetical protein
PMUR_00326	CDS	3600				hypothetical protein
PMUR_00327	CDS	4251				hypothetical protein
PMUR_00328	CDS	2712				hypothetical protein
PMUR_00329	CDS	3366	susC_1			TonB-dependent receptor SusC
PMUR_00330	CDS	1725				SusD-like protein
PMUR_00331	CDS	2073				hypothetical protein
PMUR_00332	CDS	1695				hypothetical protein
PMUR_00333	CDS	3285	susC_2			TonB-dependent receptor SusC
PMUR_00334	CDS	1767				hypothetical protein
PMUR_00335	CDS	3675				hypothetical protein
PMUR_00336	CDS	147				hypothetical protein
PMUR_00337	CDS	2352				hypothetical protein
PMUR_00338	CDS	846	kduI_1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
PMUR_00339	CDS	804	idnO	1.1.1.69		5-keto-D-gluconate 5-reductase
PMUR_00340	CDS	276	hup_1			DNA-binding protein HU
PMUR_00341	CDS	960				hypothetical protein
PMUR_00342	CDS	1074				hypothetical protein
PMUR_00343	CDS	3009				hypothetical protein
PMUR_00344	tRNA	73				tRNA-Arg(cct)
PMUR_00345	CDS	2262		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
PMUR_00346	CDS	2142				hypothetical protein
PMUR_00347	CDS	1047				hypothetical protein
PMUR_00348	CDS	1044				hypothetical protein
PMUR_00349	CDS	1368				hypothetical protein
PMUR_00350	CDS	1218				hypothetical protein
PMUR_00351	CDS	1377		3.4.24.-	COG0750	Putative zinc metalloprotease
PMUR_00352	CDS	1155	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
PMUR_00353	CDS	510	rimM			Ribosome maturation factor RimM
PMUR_00354	CDS	1305	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
PMUR_00355	CDS	624				hypothetical protein
PMUR_00356	CDS	693	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
PMUR_00357	CDS	876				hypothetical protein
PMUR_00358	CDS	570	gmk	2.7.4.8	COG0194	Guanylate kinase
PMUR_00359	CDS	600	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
PMUR_00360	CDS	126				hypothetical protein
PMUR_00361	CDS	2025	eptC	2.7.-.-	COG2194	Phosphoethanolamine transferase EptC
PMUR_00362	CDS	1065				hypothetical protein
PMUR_00363	CDS	879		2.4.2.45	COG0382	Decaprenyl-phosphate phosphoribosyltransferase
PMUR_00364	CDS	582				hypothetical protein
PMUR_00365	CDS	1413				hypothetical protein
PMUR_00366	CDS	666	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
PMUR_00367	CDS	1098	resA_2			Thiol-disulfide oxidoreductase ResA
PMUR_00368	CDS	552				hypothetical protein
PMUR_00369	CDS	183				hypothetical protein
PMUR_00370	CDS	201				hypothetical protein
PMUR_00371	CDS	2190	glnA_1	6.3.1.2		Glutamine synthetase
PMUR_00372	CDS	1230	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
PMUR_00373	CDS	864	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
PMUR_00374	CDS	99				hypothetical protein
PMUR_00375	CDS	480				hypothetical protein
PMUR_00376	CDS	156				hypothetical protein
PMUR_00377	CDS	633				hypothetical protein
PMUR_00378	CDS	921				hypothetical protein
PMUR_00379	CDS	2481				hypothetical protein
PMUR_00380	CDS	1977		3.2.1.22		Retaining alpha-galactosidase
PMUR_00381	CDS	975				hypothetical protein
PMUR_00382	CDS	354				hypothetical protein
PMUR_00383	CDS	267				hypothetical protein
PMUR_00384	CDS	489				hypothetical protein
PMUR_00385	CDS	114				hypothetical protein
PMUR_00386	CDS	270				hypothetical protein
PMUR_00387	tRNA	83				tRNA-Leu(caa)
PMUR_00388	CDS	1149	rfbM	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase RfbM
PMUR_00389	CDS	399			COG0537	putative HIT-like protein
PMUR_00390	CDS	468	greA		COG0782	Transcription elongation factor GreA
PMUR_00391	CDS	1692				hypothetical protein
PMUR_00392	CDS	1662	udk_1	2.7.1.48		Uridine kinase
PMUR_00393	CDS	657	upp	2.4.2.9		Uracil phosphoribosyltransferase
PMUR_00394	CDS	1611	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
PMUR_00395	CDS	1359				hypothetical protein
PMUR_00396	CDS	921				hypothetical protein
PMUR_00397	CDS	876				hypothetical protein
PMUR_00398	CDS	141				hypothetical protein
PMUR_00399	CDS	1014				hypothetical protein
PMUR_00400	CDS	1485				hypothetical protein
PMUR_00401	CDS	2046	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
PMUR_00402	CDS	786				hypothetical protein
PMUR_00403	CDS	2484		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PMUR_00404	CDS	1974				hypothetical protein
PMUR_00405	CDS	321	sufT			Fe-S protein maturation auxiliary factor SufT
PMUR_00406	CDS	765	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
PMUR_00407	CDS	963	argF'	2.1.3.9	COG0078	N-acetylornithine carbamoyltransferase
PMUR_00408	CDS	1431				hypothetical protein
PMUR_00409	CDS	2109				hypothetical protein
PMUR_00410	CDS	2319				hypothetical protein
PMUR_00411	CDS	492				hypothetical protein
PMUR_00412	CDS	555				hypothetical protein
PMUR_00413	CDS	1656	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PMUR_00414	CDS	1068	proB	2.7.2.11	COG0263	Glutamate 5-kinase
PMUR_00415	CDS	228				hypothetical protein
PMUR_00416	CDS	2397				hypothetical protein
PMUR_00417	CDS	633				hypothetical protein
PMUR_00418	CDS	831				hypothetical protein
PMUR_00419	CDS	1296				hypothetical protein
PMUR_00420	CDS	747				hypothetical protein
PMUR_00421	CDS	1494				hypothetical protein
PMUR_00422	CDS	1125				hypothetical protein
PMUR_00423	CDS	441				hypothetical protein
PMUR_00424	CDS	1245	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
PMUR_00425	CDS	783	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
PMUR_00426	CDS	1140	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde transaminase
PMUR_00427	CDS	1023	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
PMUR_00428	CDS	1200	argG	6.3.4.5		Argininosuccinate synthase
PMUR_00429	CDS	609				hypothetical protein
PMUR_00430	CDS	507	argR		COG1438	Arginine repressor
PMUR_00431	CDS	4905				hypothetical protein
PMUR_00432	CDS	1794				hypothetical protein
PMUR_00433	CDS	1401				hypothetical protein
PMUR_00434	CDS	330				hypothetical protein
PMUR_00435	rRNA	1528				16S ribosomal RNA
PMUR_00436	tRNA	76				tRNA-Ile(gat)
PMUR_00437	tRNA	77				tRNA-Ala(tgc)
PMUR_00438	rRNA	109				5S ribosomal RNA
